Tweet_count,Username,Text,Created At,Retweets,Likes,Tweet ID
1,Charlie Kirk,"The botched and humiliating Afghanistan withdrawal should be disqualifying to Kamala Harris who says she was the ""last person in the room"" who signed off on that disastrous plan. Not only does she NOT deserve a promotion, America deserves real accountability. Heads need to roll. https://t.co/cwhXzl82Tb",Mon Sep 09 19:12:19 +0000 2024,3201,11917,1833221919359046138
2,^Malo del Alma^ 🇨🇱🌈🇵🇸,Elon Musk está violando las reglas de Twitter https://t.co/yUTvX0RdH6,Mon Sep 16 10:52:05 +0000 2024,1,1,1835632744459567359
3,Wendy Morray,@elonmusk Doesn’t calling for the death of the Vice President of the United States violate your guidelines? Shouldn’t this be banned? https://t.co/DGHzfI57PN,Mon Sep 16 02:46:34 +0000 2024,1,2,1835510562635309510
4,Chuck Callesto,Should Trump hold a RALLY with Elon Musk and RFK Jr? https://t.co/QHJ6SXjaG1,Tue Sep 10 15:32:54 +0000 2024,6046,38169,1833529087467655281
5,DogeDesigner,"""First thing a dictator does is ban private ownership of guns.""

一 Elon Musk https://t.co/ytReQCSNos",Sun Sep 08 19:47:16 +0000 2024,3461,27035,1832868324994318844
6,David Brelin,@elonmusk In your haughty mind that alternate reality may exist.,Mon Sep 16 02:32:25 +0000 2024,1,2,1835507000521679143
7,Ann Sewell 😷,@elonmusk 🙌,Mon Sep 16 10:08:44 +0000 2024,1,1,1835621833879531852
8,Swyy,@elonmusk 😟,Mon Sep 16 02:54:44 +0000 2024,0,0,1835512614446678163
9,BertelSchmitt™ 🇺🇦💉💉💉💉💉💉💉#fella,"That's ENOUGH, @elonmusk.",Mon Sep 16 02:46:31 +0000 2024,1,3,1835510549830131860
10,Camie Mcsween,@elonmusk Interesting https://t.co/a6f1ayrmtr,Sun Sep 15 23:44:34 +0000 2024,0,0,1835464760336265270
11,Carrie1023,@elonmusk https://t.co/FsrS2HUsVX,Sun Sep 15 23:10:39 +0000 2024,1,1,1835456225489678596
12,Witcher Hawklan,@elonmusk Thank you Elon Musk,Sun Sep 15 22:59:28 +0000 2024,1,1,1835453410881282168
13,T Webb,"@elonmusk @elonmusk dude u r not even American LOL 
And r definitely part of the machine",Mon Sep 16 02:42:28 +0000 2024,2,2,1835509530391900479
14,Justin O'Sullivan,@elonmusk They're being programmed to be thin clients of the machine,Mon Sep 16 02:47:13 +0000 2024,1,1,1835510722408923522
15,Antony T,@elonmusk @ajtourville @ABC https://t.co/cHGeWWtSPx,Sun Sep 15 23:44:33 +0000 2024,0,0,1835464756775489656
16,Daniel,@alx @elonmusk Full transparency is the way! Keep the account active  🙏🏼,Sun Sep 15 23:10:42 +0000 2024,1,2,1835456237636345946
17,Ken,@elonmusk Studying history and scientific studies this is SOP for civilizations of the past.,Mon Sep 16 10:51:25 +0000 2024,1,1,1835632578981695597
18,Tom Winslow,@elonmusk Yes,Mon Sep 16 10:09:05 +0000 2024,1,2,1835621922576437632
19,Moyengully Janeth,@elonmusk I love my Starlink.,Mon Sep 16 02:17:16 +0000 2024,1,1,1835503186930536939
20,Leesa Thao,@elonmusk They just have misplaced rage is ALL😜 https://t.co/LGObeiKSr0,Mon Sep 16 03:35:57 +0000 2024,1,1,1835522990651429148
21,Tomas Dolezal,@elonmusk Liar,Mon Sep 16 10:51:46 +0000 2024,1,1,1835632665925427426
22,Suiane Cavalcante 🦋🌻,@elonmusk LOL 🤣 🤣 🤣 🤣 🤣 🤣,Mon Sep 16 01:47:52 +0000 2024,1,1,1835495788106940727
23,Herb Carter 🇺🇸,@elonmusk “I LOVE TAYLOR SWIFT”,Mon Sep 16 02:12:15 +0000 2024,3,4,1835501926676373910
24,Mark Woempner,@elonmusk 👍👍👍👍,Mon Sep 16 10:51:58 +0000 2024,1,2,1835632714289959391
25,David Sizemore,@elonmusk All she does is lie.,Mon Sep 16 10:51:41 +0000 2024,1,1,1835632645901885851
26,Matthew Tuttle,@elonmusk Why are you the way that you are?,Mon Sep 16 02:32:22 +0000 2024,1,1,1835506985262821504
27,ArtificialMuffin,@elonmusk Something I'll probably never be able to afford 😂😂,Sun Sep 15 23:11:22 +0000 2024,1,2,1835456402581549276
28,Susana CL,@elonmuskjesus Yes. I like Elon Musk ✨,Sun Sep 15 21:35:56 +0000 2024,2,4,1835432388232401338
29,Devender singh,"@RaphaelNta23933 #ElonMusk #Trump #QFS 
और आने वाले घंटों में क्रिप्टोकरेंसी के लिए अपनी क्रांतिकारी योजना की घोषणा करने वाला था।
#PiNetworkCameroon https://t.co/Xqf2Ubi3aT",Mon Sep 16 10:20:57 +0000 2024,1,1,1835624908522701089
30,Theresa Jensen,"@theliamnissan No shame, only for Elon musk . Elon musk is not capable of shame, as he does not give a damn .",Mon Sep 16 10:10:55 +0000 2024,1,1,1835622383522394265
