Text,Target
weekend off....with unfortunatly nothing to do..... ,0  
"@Ali_Sweeney Dang it Days of our Lives, you've had me crying and snoting for a week straight... ",0
@just_leo ive been trying to find it online and i cant ,0
@LZA - sadly not surprising  the city is run by idiots.,0
ugh. sad/mad/lonely. ,0
@itslb oooo Pocahontas. i was feelin nostalgic the other day so i looked up the video game on youtube. oh childhood. it was sega too ,0
"@curtisnohl ditto.  i have slaves to that for me (their codenames are: Chlidren) lol  but they dont do a good job, ",0
been photographing for 6 years. at the studio for a year and half. today for the first time ever i made a kid cry. haha ,0
"boo, my mum dysoned up the fake snow ",0
@Theezy21  geez ,0
@GHRobson Oh dang! I'm in Scarborough for the week. Tis rainin'!  x,0
ok people my BBery came early and so hoepfully my next tweet will be from Tiny Twitter because TwitterBerry wouldn't download!  oh well x,0
my life is so full of fail... nephew woke up just when i wanted to go to bed ,0
http://twitpic.com/7wvic - My broken glasses  this is so shitty!,0
@christianbourne nooooo. it has to be working  &lt;3,0
doin english essay ,0
@angelaL jealous! everybody going to the new stadium but me ,0
searching tae yang make love piano sheet.. so difficult to find ,0
Studying all day for an organic chemistry test...this is what my life has become...   http://yfrog.com/0d5luj,0
i cried the whole day.. because i think i cnt live without her..  wish i could do better,0
"Got green light for beekeeping from @existentialgard , now i we can just afford 'em. Brit black bees are not available ",0
@superkappa LOL I really want to! It's super cheap to play - like 10 bucks for everything.  I just don't wanna go alone ,0
wonders why she can't stop stare at his pic.. even though this was  ultra hyper stupid thing to do  http://plurk.com/p/12i354,0
im going now cause everyone is so unsocial ,0
@natneagle Same here... I'm big on face products because I have eye issues.  So some products and shadows really affect my eyes.  ,0
Ehhh Work....I'm jealous @joshrosemusic I want to come watch Care-Bears!!!  ,0
"wants to be back in Hedenham woods, even with the rain ",0
@kateisacreeper my kidneys ache ,0
Playing with @tweetdeck on the #iphone.  Crashed twice so far. ,0
http://twitpic.com/7wvja - only this much ,0
Can't get VLC http interface connected ;( now i've got to fysically move to my computer for play/pause  anyone tips? S not firewall afaik,0
had money stolen from my table on our deck last night. about $10. u gotta get to those outside tables to get ur tip fast. people steal. ,0
"working in half an hour, kill me now ",0
uuuglyyy weather  out w karoline&amp;tylerr,0
I have a conjunctivitis...I hate the last two days! ,0
